Setlists,all songs,Unique songs,Count,Song,Plays
Singer Sing|Night Nurse|Our Love Will Still Be There|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Since I Lay My Burden Down|Knives From Bavaria|Strange|Tiger Lily|Bewitched|Chinatown|Bonnie and Clyde|Ginger Snaps|Tugboat|,,DRIVE,7,FOURTH OF JULY,26
|,,DUCHESS,3,DON'T LET OUR YOUTH GO TO WASTE,24
Singer Sing|Our Love Will Still Be There|White Horses|Hear The Wind Blow|Words You Used To Say|The Sun Is Still Sunny|You Turned My Head Around|Knives From Bavaria|Chinatown|Strange|Tiger Lily|Since I Lay My Burden Down|Night Nurse|Bonnie and Clyde|Ginger Snaps|Bewitched|,,EMANCIPATED HEARTS,15,BEWITCHED,23
Singer Sing|Knives From Bavaria|Hear The Wind Blow|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|White Horses|Chinatown|Strange|Tiger Lily|Since I Lay My Burden Down|Night Nurse|Bonnie and Clyde|Ginger Snaps|Bewitched|,,EYES IN MY SMOKE,72,SINCE I LAY MY BURDEN DOWN,23
|,,FALLIN' IN LOVE,2,WHITE HORSES,21
The Sun Is Still Sunny|Singer Sing|Words You Used To Say|You Turned My Head Around|Night Nurse|Ginger Snaps|Our Love Will Still Be There|,,FLOWERS,35,23 MINUTES IN BRUSSELS,20
Singer Sing|Night Nurse|Hear The Wind Blow|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Tiger Lily|Tugboat|Knives From Bavaria|Bewitched|Ginger Snaps|Bonnie and Clyde|,,FOURTH OF JULY,26,THE SUN IS STILL SUNNY,20
|,,FRIENDLY ADVICE,14,THE LAST WORD,19
|,,GINGER SNAPS,36,CHINATOWN,17
Singer Sing|Our Love Will Still Be There|Words You Used To Say|The Sun Is Still Sunny|Moon Palace|White Horses|Random Rules|Knives From Bavaria|You Turned My Head Around|Night Nurse|Tiger Lily|Tugboat|Bonnie and Clyde|Ginger Snaps|Bewitched|,,GRAND CANYON,2,EMANCIPATED HEARTS,15
|,,GREENSBORO WOMAN,2,JUST AS MUCH AS IT WAS WORTH,15
|,,HAPPY AND FREE,5,"LISTEN, THE SNOW IS FALLING",15
|,,HAPPY NEW YEAR,1,FRIENDLY ADVICE,14
|,,HAPPY XMAS (WAR IS OVER),1,OUR LOVE WILL STILL BE THERE,14
|,,HE DINES OUT ON DEATH,3,PICTURES,14
|,,HE'S COMING HOME,5,HEARING VOICES,13
|,,HEAR THE WIND BLOW,28,MYSTERY GUEST,13
|,,HEARING VOICES,13,NEW WORLD JULIE,13
Words You Used To Say|Hear The Wind Blow|White Horses|Our Love Will Still Be There|Night Nurse|Since I Lay My Burden Down|Knives From Bavaria|Ginger Snaps|Chinatown|You Turned My Head Around|Moon Palace|Singer Sing|Bonnie and Clyde|Bewitched|Tugboat|,,HEARTLESS PEOPLE,9,BOURGEOIS MANQUÉ,12
|,,HERRINGBONE TWEED,70,DEAR BETTY BABY,12
|,,HOLDING PATTERN,9,YESTERDAY'S HERO,12
|,,HOMEWARD BOUND,2,DECOMPOSING TREES,11
Words You Used To Say|Our Love Will Still Be There|You Turned My Head Around|Singer Sing|Indian Summer [The Doors]|White Horses|Since I Lay My Burden Down|Knives From Bavaria|Hear The Wind Blow|Night Nurse|Ginger Snaps|Tugboat|Strange|Bonnie and Clyde|Bewitched|Ceremony|,,I DESERVE IT,3,LOVE IS COLDER THAN DEATH,11
Singer Sing|Indian Summer|You Turned My Head Around|Hear The Wind Blow|Words You Used To Say|White Horses|Since I Lay My Burden Down|Knives From Bavaria|Night Nurse|Ginger Snaps|Tugboat|Strange|Bonnie and Clyde|Random Rules|Bewitched|Ceremony|,,I FOUND IT NOT SO,71,INDIAN SUMMER,10
Singer Sing|Hear The Wind Blow|Words You Used To Say|You Turned My Head Around|White Horses|Ginger Snaps|Night Nurse|Knives From Bavaria|Tugboat|Strange|Bonnie and Clyde|Ceremony|,,I WANT EVERYTHING,1,THE CLOUD IS COMING,10
Singer Sing|Indian Summer|Our Love Will Still Be There|Words You Used To Say|White Horses|Hear The Wind Blow|Knives From Bavaria|Since I Lay My Burden Down|Night Nurse|Ginger Snaps|Tugboat|Bewitched|You Turned My Head Around|Bonnie and Clyde|,,I'LL KEEP IT WITH MINE,90,HEARTLESS PEOPLE,9
Singer Sing|Our Love Will Still Be There|Hear The Wind Blow|Words You Used To Say|White Horses|Moon Palace|Night Nurse|Random Rules|Ginger Snaps|Knives From Bavaria|Tugboat|Strange|Since I Lay My Burden Down|Chinatown|You Turned My Head Around|Bewitched|Bonnie and Clyde|,,I'M SO BORED WITH THE U. S. A.,1,HOLDING PATTERN,9
|,,I'M SO BORED WITH THE USA,3,RANDOM RULES,9
|,,I'M STICKING WITH YOU,2,AIR,8
Singer Sing|Words You Used To Say|Hear The Wind Blow|Knives From Bavaria|Ginger Snaps|Night Nurse|White Horses|Strange|You Turned My Head Around|Ceremony|,,IF I COULD ONLY FLY,2,MOONSHOT,8
Night Nurse|Our Love Will Still Be There|Words You Used To Say|Hear The Wind Blow|Singer Sing|White Horses|Ginger Snaps|Knives From Bavaria|He's Coming Home|Snowstorm|You Turned My Head Around|Bonnie and Clyde|Strange|Ceremony|,,INCANDESCENT INNOCENT,70,THAT'S THE PRICE OF LOVING ME,8
Night Nurse|Since I Lay My Burden Down|Bonnie and Clyde|Strange|Tugboat|We're Not Supposed to Be Lovers|Moon Palace|You Turned My Head Around|Chinatown|Ceremony|,,INDIAN SUMMER,10,WE'RE NOT FINISHED YET,8
|,,INGRID SUPERSTAR,5,ANOTHER DAY,7
|,,INSTRUMENTAL,1,DRIVE,7
|,,INTERNATIONAL VELVET THEME,70,ONE FINE SUMMER MORNING,7
Singer Sing|Our Love Will Still Be There|Snowstorm|Hear The Wind Blow|Words You Used To Say|Since I Lay My Burden Down|He's Coming Home|Knives From Bavaria|Night Nurse|White Horses|Tugboat|Strange|You Turned My Head Around|Ceremony|We're Not Supposed to Be Lovers|,,INTO THE FOLD,4,THE DANCER DISAPPEARS,7
Singer Sing|Our Love Will Still Be There|Hear The Wind Blow|Words You Used To Say|Since I Lay My Burden Down|Knives From Bavaria|Night Nurse|White Horses|Moon Palace|Ginger Snaps|You Turned My Head Around|Snowstorm|Strange|Bonnie and Clyde|Chinatown|Bewitched|,,ISN'T IT A PITY,2,LOST IN SPACE,6
|,,IT DON'T RAIN IN BEVERLY HILLS,70,LOVE IS NOT A ROOF AGAINST THE RAIN,6
|,,IT'S GETTING LATE,3,NEON LIGHTS,6
|,,JOHN GIORNO THEME,3,SUMMERTIME,6
|,,JUST AS MUCH AS IT WAS WORTH,15,VICTORY GARDEN,6
|,,KING OF SPAIN,2,BABES IN THE WOOD,5
|,,KNIVES FROM BAVARIA,118,CHEESE AND ONIONS,5
|,,LEAVE THE PLANET,3,HAPPY AND FREE,5
Rock Your Baby|He's Coming Home|Night Nurse|Words You Used To Say|White Horses|Ginger Snaps|Singer Sing|Random Rules|Knives From Bavaria|Wait For Me|Bewitched|You Turned My Head Around|Bonnie and Clyde|Tugboat|Moon Palace|,,LISTEN THE SNOW IS FALLING,1,HE'S COMING HOME,5
Snowstorm|Singer Sing|Night Nurse|White Horses|Ginger Snaps|Words You Used To Say|Moonshot|Tiger Lily|Teenage Lightning|Knives From Bavaria|Strange|Bonnie and Clyde|,,"LISTEN, THE SNOW IS FALLING",15,INGRID SUPERSTAR,5
|,,LITTLE ALTAR BOY,3,THE LONGEST BRIDGES IN THE WORLD,5
Snowstorm|We're Not Supposed to Be Lovers|Moon Palace|Moonshot|Words You Used To Say|Singer Sing|Night Nurse|Ginger Snaps|Teenage Lightning|Knives From Bavaria|You Turned My Head Around|Tiger Lily|Bonnie and Clyde|,,LIVING TOO CLOSE TO THE GROUND,1,WE'RE NOT SUPPOSED TO BE LOVERS,5
We're Not Supposed to Be Lovers|White Horses|Night Nurse|Moonshot|Ginger Snaps|Teenage Lightning|Words You Used To Say|Knives From Bavaria|Snowstorm|You Turned My Head Around|Tiger Lily|,,LONESOME COWBOY BILL,2,INTO THE FOLD,4
|,,LOST IN SPACE,6,MASSACHUSETTS,4
|,,LOVE IS COLDER THAN DEATH,11,OBLIVIOUS,4
Knives From Bavaria|Words You Used To Say|Bonnie and Clyde|,,LOVE IS NOT A ROOF AGAINST THE RAIN,6,OLD TOY TRAINS,4
|,,MALIBU LOVE NEST,3,PARKING LOT,4
Teenage Lightning|Night Nurse|Ginger Snaps|Moonshot|Singer Sing|Snowstorm|Hear The Wind Blow|Knives From Bavaria|Words You Used To Say|You Turned My Head Around|Tiger Lily|,,MASSACHUSETTS,4,RIDE INTO THE SUN,4
|,,ME AND MY BABIES,1,TELL ME,4
|,,MERMAID EYES,3,THE BEND IN THE RIVER,4
|,,MOON PALACE,34,THE DEADLIEST DAY SINCE THE INVASION BEGAN,4
|,,MOONSHOT,8,THE PAST IS OUR PLAYTHING,4
|,,MOST OF THE TIME,2,UNDER SKYS,4
|,,MOUNTAINS OF THE MOON,3,DAYDREAM,3
|,,"MY RIFLE, MY PONY AND ME",3,DUCHESS,3
Teenage Lightning|Singer Sing|Words You Used To Say|Moonshot|Night Nurse|Ginger Snaps|Snowstorm|Knives From Bavaria|You Turned My Head Around|Tiger Lily|Bonnie and Clyde|,,"MY RIFLE, MY PONY, AND ME",1,HE DINES OUT ON DEATH,3
Singer Sing|Hear The Wind Blow|White Horses|Night Nurse|Moon Palace|Ginger Snaps|Words You Used To Say|Knives From Bavaria|You Turned My Head Around|Malibu Love Nest|Bonnie and Clyde|Ceremony|,,MYSTERY GUEST,13,I DESERVE IT,3
|,,NEON LIGHTS,6,I'M SO BORED WITH THE USA,3
|,,NEW WORLD JULIE,13,IT'S GETTING LATE,3
|,,NIGHT NURSE,49,JOHN GIORNO THEME,3
Tugboat|Into The Fold|Moon Palace|Fourth of July|Malibu Love Nest|Teenage Lightning|,,NO TRAIN TO STOCKHOLM,1,LEAVE THE PLANET,3
|,,NOT A YOUNG MAN ANYMORE,76,LITTLE ALTAR BOY,3
Blue Thunder|Hearing Voices|Into The Fold|Swedish Fish|Don't Let Our Youth Go to Waste|,,OBLIVIOUS,4,MALIBU LOVE NEST,3
|,,OLD TOY TRAINS,4,MERMAID EYES,3
|,,ONE FINE SUMMER MORNING,7,MOUNTAINS OF THE MOON,3
|,,OUR LOVE WILL STILL BE THERE,14,"MY RIFLE, MY PONY AND ME",3
|,,OUT WALKING,3,OUT WALKING,3
Temperature's Rising|Tugboat|Blue Thunder|Snowstorm|Hearing Voices|Strange|Victory Garden|Fourth of July|Don't Let Our Youth Go to Waste|Ceremony|Night Nurse|Singer Sing|Knives From Bavaria|You Turned My Head Around|Not a Young Man Anymore|Bonnie and Clyde|,,PARKING LOT,4,PLASTIC BIRD,3
|,,PEACE ON EARTH / LITTLE DRUMMER BOY,1,ROBIN AND RICHARD,3
|,,PICTURES,14,THREW IT AWAY,3
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,PLASTIC BIRD,3,YOUR BABY,3
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,RANDOM RULES,9,(WALKIN' THRU THE) SLEEPY CITY,2
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,REICH DER TRÄUME,2,ALBERTA,2
|,,RICHARD RHEEM THEME,70,BOBBY PERU,2
|,,RIDE INTO THE SUN,4,BROKEN CHAIR,2
|,,ROBIN AND RICHARD,3,FALLIN' IN LOVE,2
|,,ROCK YOUR BABY,1,GRAND CANYON,2
|,,SADNESS,1,GREENSBORO WOMAN,2
|,,SILVER FACTORY THEME,73,HOMEWARD BOUND,2
|,,SINCE I LAY MY BURDEN DOWN,23,I'M STICKING WITH YOU,2
|,,SINGER SING,34,IF I COULD ONLY FLY,2
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,SNOW IS FALLING IN MANHATTAN,2,ISN'T IT A PITY,2
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,SNOWSTORM,47,KING OF SPAIN,2
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,SORRY,1,LONESOME COWBOY BILL,2
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,SPOOK,2,MOST OF THE TIME,2
|,,STILLE NACHT,1,REICH DER TRÄUME,2
The Enabler|Tiger Lily|I'll Keep It With Mine|Not a Young Man Anymore|Bewitched|Knives From Bavaria|Night Nurse|Moon Palace|Words You Used To Say|You Turned My Head Around|Bonnie and Clyde|Strange|Ceremony|,,STRANGE,71,SNOW IS FALLING IN MANHATTAN,2
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,SUMMERTIME,6,SPOOK,2
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,SUMMERTIME >,1,SWEDISH FISH,2
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,SUPERFREAKY MEMORIES,1,TOMORROW IS A LONG TIME,2
Silver Factory Theme|Night Nurse|Words You Used To Say|Knives From Bavaria|You Turned My Head Around|I'll Keep It With Mine|Tiger Lily|Temperature's Rising|Tugboat|Snowstorm|Strange|Bonnie and Clyde|Ceremony|,,SWEDISH FISH,2,TRACY I LOVE YOU,2
Silver Factory Theme|Night Nurse|Words You Used To Say|Knives From Bavaria|You Turned My Head Around|Tiger Lily|Temperature's Rising|Tugboat|I'll Keep It With Mine|Snowstorm|Strange|Moon Palace|Bonnie and Clyde|Not a Young Man Anymore|Ceremony|,,TEENAGE LIGHTNING,78,WAIT FOR ME,2
|,,TELL ME,4,WAYFARING STRANGER,2
|,,TEMPERATURE'S RISING,29,WRAP YOUR ARMS AROUND ME,2
I Found It Not So|I'll Keep It With Mine|Silver Factory Theme|Knives From Bavaria|Eyes In My Smoke|Snowstorm|Not A Young Man Anymore|,,THAT'S THE PRICE OF LOVING ME,8,ANESTHESIA,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THE BEND IN THE RIVER,4,CALIFORNIA BLUE,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THE CARNIVAL IS OVER,1,CAR WASH HAIR,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THE CLOUD IS COMING,10,CASHING IN,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THE DANCER DISAPPEARS,7,CHRISTMAS CAN'T BE FAR AWAY,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THE DEADLIEST DAY SINCE THE INVASION BEGAN,4,CINDY TASTES OF BARBECUE,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THE ENABLER,1,DO IT LAST,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THE LAST WORD,19,DO YOU KNOW HOW CHRISTMAS TREES ARE GROWN,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THE LONGEST BRIDGES IN THE WORLD,5,DO YOU KNOW HOW CHRISTMAS TREES ARE GROWN?,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THE PAST IS OUR PLAYTHING,4,HAPPY NEW YEAR,1
|,,THE SLOW SONG,1,HAPPY XMAS (WAR IS OVER),1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THE SUN IS STILL SUNNY,20,I WANT EVERYTHING,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,THREW IT AWAY,3,I'M SO BORED WITH THE U. S. A.,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,TIGER LILY,28,INSTRUMENTAL,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,TOMORROW IS A LONG TIME,2,LISTEN THE SNOW IS FALLING,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,TRACY I LOVE YOU,2,LIVING TOO CLOSE TO THE GROUND,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,TUGBOAT,78,ME AND MY BABIES,1
Richard Rheem Theme|Ann Buchanan Theme|Teenage Lightning|It Don't Rain in Beverly Hills|Silver Factory Theme|International Velvet Theme|Herringbone Tweed|I Found It Not So|I'll Keep It With Mine|Incandescent Innocent|Eyes in My Smoke|Not a Young Man Anymore|Knives From Bavaria||,,UNDER SKYS,4,"MY RIFLE, MY PONY, AND ME",1
|,,VICTORY GARDEN,6,NO TRAIN TO STOCKHOLM,1
|,,WAIT FOR ME,2,PEACE ON EARTH / LITTLE DRUMMER BOY,1
