title,disambiguate,slug,slug-old,sort-title,group-by,authors,original,lyrics
Beautiful View,,beautiful-view,beautiful-view,BEAUTIFUL VIEW,B,,,Your pockets are full <br />Of stolen glasses <br />But what's the point?<br />You've had your fill <br />You've had your fill <br /><br />You shed your skin <br />You're one of them <br />That somber fool <br />Escape while you can <br />Escape while you can <br /><br />You're coming out of your shell <br />You've got a beautiful view <br />You're gonna shake it off <br /><br />This is the place <br />That you were born <br />It's making a comeback <br />Since you've been gone <br />Since you've been gone <br /><br />Don't waste your time <br />Learning kling-on <br />It ain't no use <br />Escape while you can <br />Escape while you can
Beggar's Bliss,,beggars-bliss,beggar-s-bliss,BEGGAR'S BLISS,B,,,"Woman made of paper <br />Understand me now <br />This time they got you by the ears <br />You might be nothing <br />Or just a footprint <br />But they been watching you for years <br /><br />It's a strange <br />fascination <br />It's a bliss <br />It's a beggar's bliss <br /><br />A double dance <br />For 20 dollars <br />You may be crooked but not cheap <br />Go ahead make a mistake <br />That's what you're made of <br />They been watching you for years <br /><br />And in the shadow of a candlestick <br />You face appears <br />Quickly now's the time <br />Why are we waiting?<br />Uptown, downtown <br />I could care less <br />I been watching you for years"
The Bend in The River,,the-bend-in-the-river,the-bend-in-the-river,BEND IN THE RIVER,B,Marty Robbins,Marty Robbins,
Between The Wars,,between-the-wars,between-the-wars,BETWEEN THE WARS,B,Krukowski/Yang,,
Bewitched,,bewitched,bewitched,BEWITCHED,B,,,all of a sudden<br />the girl of my dreams<br />she never asks<br />she always screams<br />do you see her face<br />in a puddle at my feet<br />as i bend down<br />to kiss the street<br /><br />and i'll come runnin' to her<br />and i'll come runnin' to her<br /><br />her sleep is troubled<br />her face will twitch<br />she wakes up angry<br />and i'm bewitched<br />her smile is forced<br />she's always late<br />but she's not sorry<br />and i capitulate<br /><br />and i'll come runnin' to her<br />and i'll come runnin' to her<br /><br />all of a sudden<br />the girl of my dreams<br />she never asks<br />she always screams
Black Champagne,,black-champagne,black-champagne,BLACK CHAMPAGNE,B,,,Sunday on a Whim<br />Things are falling in<br />You made it to your bed<br />But stayed up all night instead<br /><br />My eyes are glossed<br />My head is tossed<br />I'm writing underneath your gaze<br />Don't you want to know?<br />How this thing will go<br />I wonder how things became so strange<br /><br />The Battle brings me life<br />Drain the disco lights on me<br /><br />Drinking Black Champagne<br />Diamonds in my veins<br />My hands are growing old<br />My Teeth are paved with gold<br /><br />My eyes are glossed<br />My head is tossed<br />I'm writing underneath your gaze<br /><br />The Battle brings me life<br />Drain the disco lights on me
Black Postcards,,black-postcards,black-postcards,BLACK POSTCARDS,B,,,
Blue Moon,,blue-moon,blue-moon,BLUE MOON,B,Big Star,Big Star,
Blue Thunder,,blue-thunder,blue-thunder,BLUE THUNDER,B,Krukowski/Wareham/Yang,,Thinkin of blue thunder<br />Singin to myself<br />Thinkin how fast it moves<br />Feelin how it turns<br />I was singin somethin<br />Out on Route 128<br />Thinkin how blue it looks<br />Singin out aloud<br /><br />My my blue thunder<br />My my blue thunder<br />My my blue thunder<br />Singin out aloud<br /><br />My my blue thunder<br /><br />My my blue thunder<br />My my blue thunder<br />Singin out aloud<br /><br />I'll drive so far away<br />I'll drive so far away<br />I'll drive so far away<br />I'll drive so far away<br /><br />Blue thunder<br />Blue thunder<br />Blue thunder<br />Blue thunder
Bob Le Flambeur,,bob-le-flambeur,bob-le-flambeur,BOB LE FLAMBEUR,B,,,
Bobby Peru,,bobby-peru,bobby-peru,BOBBY PERU,B,,,"I told lies to your family <br />Concerning your whereabouts <br />They feel so sorry for me <br />I invented jealous stories <br />My imagination ran wild <br />I made myself so angry <br />The night that you insulted me <br />I lay awake thinking <br />Clever things I could have said <br />My thoughts kept turning to Bobby Peru <br />How would he handle this one <br /><br />'S' is for sorry for all that I did <br />Now is the time to turn it all around <br />I know what is the matter so why can't I fix it <br />Forgive me please <br /><br />I had lunch with an old girlfriend <br />Who knows all my faults <br />And pretends to want to help <br />She said I really don't mind <br />Your keeping secrets from me <br />But please don't keep them from yourself <br />Murder is bad, and suicide is sad <br />Why would a girl like that put her head in the oven? <br />You have your theories, and I got one too <br />It's such a waste"
Bonnie and Clyde,,bonnie-and-clyde,bonnie-and-clyde,BONNIE AND CLYDE,B,Serge Gainsbourg,"Gainsbourg, Serge and Bardot, Brigitte",vous avez lu l'histoire de jesse james<br />comment il vicut comment il est mort<br />ca vous a plus hein vous en d'mandez encore<br />et bien ecoutez l'histoire de bonnie and clyde<br /><br />alors voila clyde a une petite amie<br />elle est belle et son prinom c'est bonnie<br />a eux deux ils forment le gang barrow<br />leurs noms bonnie parker et clyde barrow<br /><br />bonnie and clyde<br />bonnie and clyde<br /><br />moi lorsque j'ai connu clyde autrefois<br />c'itait un gars loyal honnjte et droit<br />il faut croire que c'est la sociiti<br />qui m'a difinitivement abnmi<br /><br />bonnie and clyde<br />bonnie and clyde<br /><br />qu'est c' qu'on a pas icrit sur elle et moi<br />on pritend que nous tuons de sang froid<br />c'e'st pas drol' mais on est bien obligi<br />de fair' tair' celui qui s'met ' gueuler<br /><br />bonnie and clyde<br />bonnie and clyde<br /><br />chaqu'fois qu'un polic'man se fait buter<br />qu'un garage ou qu'un' banque<br />se fait braquer pour la polic' <br />ca ne fait pas d'myster <br />c'est signi clyde barrow bonnie parker<br /><br />bonnie and clyde<br />bonnie and clyde<br /><br />maint'nant chaq'fois qu'on essaie d'se ranger<br />de s'installer tranquill's dans un meubli<br />dans lees trois jours voil' le tac tac tac<br />des mitraillett's qui revienn't ' l'attaqu'<br /><br />bonnie and clyde<br />bonnie and clyde<br /><br />bonnie and clyde<br />bonnie and clyde<br /><br />un de ces quatr' nous tomberons ensemble<br />moi j'm'en fous <br />c'est pour Bonnie que je tremble<br />qu'elle importanc' qu'ils me fassent la peau<br />moi bonnie je tremble pour clyde barrow<br /><br />bonnie and clyde<br />bonnie and clyde<br /><br />d'tout' fagon ils n'pouvaient plus s'en sortir<br />la seule solution c'itait mourir<br />mais plus d'un les a suivis en enfer<br />quand sont morts barrow et bonnie parker<br /><br />bonnie and clyde<br />bonnie and clyde<br />
Borderline,,borderline,borderline,BORDERLINE,B,Reggie Lucas,Madonna,"Something in the way you love me won't let me be<br />I don't want to be your prisoner so baby won't you set me free<br />Stop playing with my heart<br />Finish what you start<br />When you make my love come down<br />If you want me let me know<br />Baby let it show<br />Honey don't you fool around<br /><br />Just try to understand, I've given all I can,<br />'Cause you got the best of me<br /><br />Borderline feels like I'm going to lose my mind<br />You just keep on pushing my love over the borderline<br /><br />Borderline feels like I'm going to lose my mind<br />You just keep on pushing my love over the borderline<br /><br />Keep on pushing me baby<br />Don't you know you drive me crazy<br />You just keep on pushing my love over the borderline<br /><br />Something in your eyes is makin' such a fool of me<br />When you hold me in your arms you love me till I just can't see<br />But then you let me down, when I look around, baby you just can't be found<br />Stop driving me away, I just wanna stay,<br />There's something I just got to say<br /><br />Just try to understand, I've given all I can,<br />'Cause you got the best of me<br /><br />Borderline feels like I'm going to lose my mind<br />You just keep on pushing my love over the borderline<br /><br />Keep on pushing me baby<br />Don't you know you drive me crazy<br />You just keep on pushing my love over the borderline<br /><br />Look what your love has done to me<br />Come on baby set me free<br />You just keep on pushing my love over the borderline<br />You cause me so much pain, I think I'm going insane<br />What does it take to make you see?<br />You just keep on pushing my love over the borderline"
Boston's Daily Temperature,,bostons-daily-temperature,boston-s-daily-temperature,BOSTON'S DAILY TEMPERATURE,B,,,
Boxing and The City,,boxing-and-the-city,,BOXING AND THE CITY,B,Naomi Yang,,
Broken Chair,,broken-chair,broken-chair,BROKEN CHAIR,B,,,"I thought about it every day<br />While I was wondering in and out of the pink<br />You had to make another go<br />You were drowning in your wonderful drink<br />There's so much of madness here<br />So much that sinks<br />Act like you are, we're all in a terrible fable<br />What do you see<br /> <br />I'm running so fast<br />Gotta go where I need<br />Out on the road there<br />The devil knows what I see<br /> <br />Sometimes you gotta know<br />You gotta make it with a lot of the sane<br />Had to be another Joe<br />Drifting in and out of the way<br />So much I used to let by<br />Was so much like a kick in the head<br />Better be off and I better be able to see what's ahead<br /> <br />It's beautiful now<br />I tell myself I'm braver<br />Sorry somehow<br />Never know what it means to you"
Buffalo Boots,,buffalo-boots,buffalo-boots,BUFFALO BOOTS,B,,,Well she looked real cute<br />In her buffalo boots<br />She has a rosy future<br />In her juicy couture<br />Ladybug red<br />And strawberry pink<br />Made me stop and wonder<br />Made me have to think<br /> <br />There's a girl in Nolita<br />I really wanna snuckle<br />At the supermarket<br />I have to bite my knuckle<br />Mother of pearl<br />Thrilling my thrill<br />Mother of girl<br />Spilling my spill
Buzz In My Head,,buzz-in-my-head,buzz-in-my-head,BUZZ IN MY HEAD,B,,,
By The Way (I Still Love You),,by-the-way-i-still-love-you,by-the-way-i-still-love-you,BY THE WAY (I STILL LOVE YOU),B,Lee Hazlewood,"Sinatra, Nancy",
Cashing In,,cashing-in,cashing-in,CASHING IN,C,Dean Wareham,,
California (All The Way),,california-all-the-way,california-all-the-way,CALIFORNIA (ALL THE WAY),C,,,"well, she followed him from phoenix out to california<br />and then she passed out on the bed<br />and all the little things he never even asked her for<br />she simply smiled and shook her head<br /><br />why can't we smile just like we used to<br />why don't you figure anymore<br />why has my sympathy now turned to malice<br />it doesn't matter any more<br /><br />and now i realize i'm livin' like a trucker does<br />although i haven't got the belly<br />and though she followed me to california all the way<br />i only wanna watch the telly<br /><br />why can't we smile just like we used to<br />why don't you figure anymore<br />why has my sympathy now turned to malice<br />it doesn't matter any more<br /><br />he asked her please stop quotin' rod mc kuen in your post cards<br />can't understand it anymore<br />and if your gonna read your poetry aloud to me<br />i'll have to show you to the door<br /><br />why can't we smile just like we used to<br />why don't you figure anymore<br />why has my sympathy now turned to malice<br />it doesn't matter any more"
California Blue,,california-blue,california-blue,CALIFORNIA BLUE,C,Orbison / Lynne / Petty,Roy Orbison,"Working all day<br />And the sun don't shine<br />Trying to get by<br />And I'm just killin' time<br />I feel the rain<br />Fall the whole night through<br />Far away from you<br />California blue<br /><br />California blue<br />Dreaming all alone<br />Nothing else to do<br />California blue<br />Everyday I pray<br />I'll be on my way<br />Saving love for you<br />California blue<br /><br />One sunny day<br />I'll get back again<br />Somehow, someway<br />But I don't know when<br />California blue<br />California blue<br /><br />Living my life<br />With you on my mind<br />Thinking of things<br />That I left far behind<br />It's been so long<br />Doing all I can do<br />To get back to you<br />California blue<br /><br />California blue<br />Dreaming all alone<br />Nothing else to do<br />California blue<br />Everyday I pray<br />I'll be on my way<br />Saving love for you<br />California blue<br /><br />One sunny day<br />I'll get back again<br />Somehow, someway<br />But I don't know when<br />California blue<br />California blue<br />Still missing you<br />California blue<br />Still missing you<br />California blue<br />Still missing you<br />California blue<br />"
Captain Pentagon,,captain-pentagon,captain-pentagon,CAPTAIN PENTAGON,C,,,
Car Wash Hair,,car-wash-hair,car-wash-hair,CAR WASH HAIR,C,Mercury Rev,Mercury Rev,
The Carnival is Over,,the-carnival-is-over,the-carnival-is-over,CARNIVAL IS OVER,C,traditional / Tom Springfield,The Seekers,
Ceremony,,ceremony,ceremony,CEREMONY,C,Joy Division,Joy Division,"This is why ...<br />Heard it all a different story<br />All the time the wheels are turning<br />Turn again, turn towards this time<br />All she asks, the strength to hold me<br />... the same old story<br />Love will travel oh so quickly<br />Travel fast, turn towards this time<br />I ... them all, no mercy shown<br />Heaven knows it's got to be this time<br />What she heard, these things she said<br />Time she cried and failed to wake this time<br />I break them down, no mercy shown<br />Heaven knows it's got to be this time<br />Avenues all lined with trees<br />Picture me and then you start watching<br />Avenues all lined with trees<br />Picture me and then you start watching<br />Avenues all lined with trees<br />Picture me and then you start watching<br />Forever<br />Forever watch ...<br />Forever<br />For never letting me know"
Chance Was,,chance-was,chance-was,CHANCE WAS,C,,,
Cheese and Onions,,cheese-and-onions,cheese-and-onions,CHEESE AND ONIONS,C,Neil Innes,"Rutles, The","I have always thought<br />In the back of my mind, Cheese and Onions<br />I have always thought<br />That the world was unkind, Cheese and Onions<br /><br />Do I have to spell it out?<br />C-H-E-E-S-E-A-N-D-O-N-I-O-N-S-Oh no<br /><br />My machine<br />Keep yourself clean<br />I'll be a has-been<br />Like a dinosaur<br />My device<br />For everything nice<br />You better think twice<br />At least once more"
Cheree,,cheree,cheree,CHEREE,C,Rev/Vega,Suicide,
Chinatown,,chinatown,chinatown,CHINATOWN,C,,,in the tiny tiny hours<br />(be) tween the evening and the day<br />we have placed our final bets<br />we have come out to play<br />fancy drinks a lucky toasts<br />i like this time the most<br /><br />you're out all night<br />chasin' girlies<br />you're late to work<br />and you go home earlies<br /><br />lookin' lost in chinatown<br />why are we hidin' from our friends<br />rushing 'round in taxi cabs<br />is it time to make amends<br />you'll get yours and i'll get mine<br />you can't be lucky all the time<br /><br />you're out all night<br />chasin' girlies<br />you're late to work<br />and you go home earlies
Cindy Tastes of Barbecue,,cindy-tastes-of-barbecue,cindy-tastes-of-barbecue,CINDY TASTES OF BARBECUE,C,,,Your electronic billet doux<br />It left me scrambling for a clue<br />North of North Dakota<br />East of Easter Egg<br />I made a promise to the hills<br /> <br />Your purple mouth says snicker smack<br />I'm turning round I'm turning back<br />Cindy tastes of barbecue<br />Cindy tastes like cream<br />I made a promise to the hills
City Kitty,,city-kitty,city-kitty,CITY KITTY,C,,,In rented tuxedoes <br />The guests will arrive <br />Smiling and smoking <br />Chewing and choking <br />Women int heir favourite shoes <br />Thinking dark disturbing thoughts <br />All of them together <br />Making trips to the bathroom <br />Blackeyed susans <br />And chilled potatoes <br />High balls and low <br />A pinch and a punch <br />Invisible to mirrors <br />You fly around the room <br />Tell me the password <br />Banana cream pie <br /><br />So get up off the floor <br />And play with me some more <br />Come down to my side <br />And tell me green-eyed lies <br />We'll find a magic spell <br />To turn this much to gold <br />Well promises don't grow on trees <br /><br />Playin' the oujia board <br />In front of the fire <br />It told me to do <br />Unspeakable things <br />Mixed in a cocktail <br />Of muddles emotions <br />Stinky and winky <br />Drinky and stinky <br /><br />They made me dance <br />They made me sing <br />The boring bibble babble <br />The dreary dibble dabble <br />The bustle and the vanity <br />The hustle and insanity <br />Clowning and towning <br />Frowning and drowning
Cold Night,,cold-night,cold-night,COLD NIGHT,C,Krukowski/Wareham/Yang,,I can't talk to today<br />The phone will have to ring<br />I'll keep the blind pulled down<br />I'll keep the bedroom locked<br /><br />I think the window froze<br />I think my head is broke<br />I think my toes won't move<br />I think my head is broke
Colours,,colours,colours,COLOURS,C,Donovan Leitch,Donovan,
The Corridors of Power,,the-corridors-of-power,the-corridors-of-power,CORRIDORS OF POWER,C,,,
Crazy,,crazy,crazy,CRAZY,C,Krukowski/Wareham/Yang,,
Crazy People,,crazy-people,crazy-people,CRAZY PEOPLE,C,,,All kinds of crazy people<br />Police and senators too<br />All the crazy people<br />Couldn't hold a candle to you<br /><br />Say goodbye<br />I can't satisfy<br />All your dreams<br /><br />All my nasty habits<br />Are walkin further away<br />All my nasty habits<br />I'm feelin better each day<br /><br />Say goodbye<br />I can't satisfy<br />All your hopes
The Creeps,,the-creeps,the-creeps,CREEPS,C,,,Tell me who it was <br />Let the creeps into my life <br />Tell me who it was <br />Let the creeps into the house <br />Well I guess that it was me <br />Who handed out the key <br />I gots to be more careful <br />Next time <br />Some very clever people <br />Have got it figured out <br />Let me say now <br />You are in grave danger <br />I'll open all the drawers <br />And look behind the socks <br />So where are you <br />This time <br /><br />Does anybody see it?<br />Does anybody care?<br />A hideous trick <br />Has been played on all of us <br />A saddle of deception <br />A sauce of nasty lies <br />Greetings from the chateau <br />For the very last time
Cruel Queen,,cruel-queen,cruel-queen,CRUEL QUEEN,C,Krukowski/Yang,,"The Queen she divides her land into three<br />She is as cruel as she wants to be<br />Many an hour she sits there all alone<br />All alone - but always thinking<br />Which of my children loves me the best?<br />I'll give them everything, leave none to the rest<br />I'll give them all my land and my jewels too<br />But my love - none shall have it<br />Mother, dear mother, you've done me a great wrong<br />You married me when I was far too young<br />The man was rich, but he left me with a child<br />I need your gold to feed him<br />Daughter, dear daughter, I've done you no wrong<br />I married you to a great lord's son<br />Find a new man for when I'm dead and gone<br />As for gold, I'll give you nothing<br />Mother, dear mother, if you see fit<br />Grant me your kingdom and I'll watch over it<br />I will rule your land as you would yourself<br />For I am most like you<br />Daughter, dear daughter, no I don't see fit<br />To give you my land, you'll have none of it<br />Your words offend me for how could you presume<br />That you could rule as I do?<br />Which of my children loves me the best?<br />I'll give them everything, leave none to the rest<br />I'll give them all my land and my jewels too<br />But my love - none shall have it<br />Mother, dear mother, I do not want your land<br />I don't want your riches, nor jewels on my hand<br />My request is simple, it's every child's desire<br />I only want your blessing<br />Daughter, dear daughter, you're nothing but a fool<br />This world is governed by one and only rule<br />I will die with all my land and all my jewels too<br />And my love - none shall have it"
Crystal Blue R.I.P.,,crystal-blue-rip,crystal-blue-rip,CRYSTAL BLUE R.I.P.,C,Kember/Wareham/Phillips,,
Dance Me to The End of Love,,dance-me-to-the-end-of-love,dance-me-to-the-end-of-love,DANCE ME TO THE END OF LOVE,D,Leonard Cohen,Leonard Cohen,
Dance With Me,,dance-with-me,dance-with-me,DANCE WITH ME,D,Jonathan Richman,"Richman, Jonathan",
The Dancer Disappears,,the-dancer-disappears,the-dancer-disappears,DANCER DISAPPEARS,D,Dean Wareham,,"I was the arrow, I was the bow <br />I love to give but I'm ready to go <br />Now that we're here, I'm ready to leave<br />The whole wide world behind<br /><br />Bring back the magic and let the match<br />There's a dream that I'm open to catch<br />Now that we're here, I'm ready to leave<br />The whole wide world behind<br /><br />Now in the twilight of the psychedelic years<br />Roll back the highlights til' the dancer disappears, til' the dancer disappears<br /><br />Bring back the magic and let the match<br />There's a star that I hope I will catch<br />Now that we here, I'm ready to leave<br />The whole wide world behind<br /><br />Now in the twilight of the psychedelic years<br />Roll back the highlights til' the dancer disappears, til' the dancer disappears<br />"
Dancing Days,,dancing-days,dancing-days,DANCING DAYS,D,Page/Plant,Led Zeppelin,
Daniel and Boone,,daniel-and-boone,daniel-and-boone,DANIEL AND BOONE,D,,,
Daydream,,daydream,daydream,DAYDREAM,D,Britta Phillips,Britta Phillips,
The Deadliest Day Since The Invasion Began,,the-deadliest-day-since-the-invasion-began,the-deadliest-day-since-the-invasion-began,DEADLIEST DAY SINCE,D,Dean Wareham,,
Dear Diary,,dear-diary,dear-diary,DEAR DIARY,D,,,I saw that girl again today<br />Reading silly magazines<br />I saw that girl again today<br />Singing songs of bubblegum<br />I had my eyes peeled wide<br />Up and down the dirty side<br />I had my eyes peeled wide<br />I think about her all the time<br />And then you blew my mind<br />Always on my mind<br />You made an educated guess<br />You are an educated girl<br />It was a palace on wheels<br />And I was just a drunken fool<br />I had my eyes peeled wide<br />Up and down the dirty side<br />I got a head just like a beehive<br />I think about her all the time<br />Why must you be<br />A mystery to me?
Dear Paulina,,dear-paulina,dear-paulina,DEAR PAULINA,D,,,
Decomposing Trees,,decomposing-trees,decomposing-trees,DECOMPOSING TREES,D,Krukowski/Wareham/Yang,,My toes can talk<br />And they're smiling at me<br />Calm down they say<br />Not afraid anymore<br /><br />And they talk to me<br />And they smile at me<br /><br />I walked upstream<br />And I sat in the mud<br />Life starts again<br />Watching trees decompose<br /><br />And they talk to me<br />And they smile at me
Defibrillation,,defibrillation,defibrillation,DEFIBRILLATION,D,Krukowski/Yang,,"Lives crossing other lives<br />In a network of nerves<br />Crossed signal a twitch at the end of the line<br />Your doubt reaches inside me<br />Across this network of nerves<br />Flat line alarm sounds but I'm not the one<br />This I is not me, it's possession<br />Electrical wires of relation: defibrillation<br />Your doubt reaches inside<br />Into my network of nerves<br />Red light - alarm sounds - but I'm not the one<br />This I is not me, it's possession<br />Electrical bonds of relation: defibrillation<br />Come tomorrow I'll be another care from the past<br />This I is not me, it's possession<br />Defibrillation: separation"
"Distractions, Pt. 1",,distractions-pt-1,distractions-part-1,DISTRACTIONS,D,Bobby Darin,Bobby Darin,
Dizzy,,dizzy,dizzy,DIZZY,D,,,I wanna help<br />You understand<br />I wanna see<br />You if I can<br /><br />I'm loaded up<br />And weighted down<br />And surrounded by Demons<br />It's fantastic<br /><br />Because your eyes make me weak<br />And your lips make me dizzy<br />And I want you see<br />Just how good it can be<br /><br />In Ancient Greece<br />There was a man<br />Lived in a barrel<br />He had a plan<br /><br />My life is small<br />And getting smaller<br />And I'm surrounded by demons<br />It's fantastic<br /><br />Because your eyes make me weak<br />And your lips make me dizzy<br />And I want you to see<br />Just how good it can be
Do Everything,,do-everything,do-everything-gas-station,DO EVERYTHING,D,Wareham/Phillips,,
Do It Last,,do-it-last,do-it-last,DO IT LAST,D,Britta Phillips,Britta Phillips,
Don't Forget,,dont-forget,don-t-forget,DON'T FORGET,D,,,
Don't Let Our Youth Go to Waste,,dont-let-our-youth-go-to-waste,don-t-let-our-youth-go-to-waste,DON'T LET OUR YOUTH GO TO WASTE,D,Jonathan Richman,"Richman, Jonathan (and the Modern Lovers)","I need a walk by the flowers with someone who can share my face<br />Looks like nobody could take your place<br />And I could bleed in sympathy with you<br />On those days<br />And I could drink up everything you have<br />Don't let it go to waste<br />I could show you memories<br />To rival Berlin in the Thirties<br />I understand your dating bar ways<br />And I could bleed in sympathy with you<br />On those days<br />And I could drink up everything you have<br />Don't let it go to waste<br />Say something warm, say something nice<br />I can't to see you when you're cold<br />Nor can I stand being out of your life<br />And I could bleed in sympathy with you<br />On those days<br />And I could drink up everything you have<br />Don't let our youth go to waste"
"Don't Think Twice, It's Alright",,dont-think-twice-its-alright,dont-think-twice-its-alright,DON'T THINK TWICE IT'S ALRIGHT,D,Bob Dylan,Bob Dylan,"It ain't no use to sit and wonder why, babe<br />It don't matter, anyhow<br />An' it ain't no use to sit and wonder why, babe<br />If you don't know by now<br />When your rooster crows at the break of dawn<br />Look out your window and I'll be gone<br />You're the reason I'm trav'lin' on<br />Don't think twice, it's all right<br /><br />It ain't no use in turnin' on your light, babe<br />That light I never knowed<br />An' it ain't no use in turnin' on your light, babe<br />I'm on the dark side of the road<br />Still I wish there was somethin' you would do or say<br />To try and make me change my mind and stay<br />We never did too much talkin' anyway<br />So don't think twice, it's all right<br /><br />It ain't no use in callin' out my name, gal<br />Like you never did before<br />It ain't no use in callin' out my name, gal<br />I can't hear you anymore<br />I'm a-thinkin' and a-wond'rin' all the way down the road<br />I once loved a woman, a child I'm told<br />I give her my heart but she wanted my soul<br />But don't think twice, it's all right<br /><br />I'm walkin' down that long, lonesome road, babe<br />Where I'm bound, I can't tell<br />But goodbye's too good a word, gal<br />So I'll just say fare thee well<br />I ain't sayin' you treated me unkind<br />You could have done better but I don't mind<br />You just kinda wasted my precious time<br />But don't think twice, it's all right<br />"
